usgs,site_no,date,tidal_high,tidal_high_qc,tidal_low,tidal_low_qc,precipitation_inches,precip_qual_code
USGS,0204291317,2016-04-23,1.86,A,-1.14,A,0.08,A
USGS,0204291317,2016-04-24,1.57,A,-0.69,A,0.00,A
USGS,0204291317,2016-04-25,1.63,A,-0.96,A,0.00,A
USGS,0204291317,2016-04-26,1.21,A,-1.35,A,0.00,A
USGS,0204291317,2016-04-27,1.51,A,-1.03,A,0.57,A
USGS,0204291317,2016-04-28,1.82,A,-0.43,A,0.60,A
USGS,0204291317,2016-04-29,1.81,A,-0.29,A,0.00,A
USGS,0204291317,2016-04-30,1.91,A,-0.55,A,0.00,A
USGS,0204291317,2016-05-01,1.35,A,-0.91,A,0.08,A
USGS,0204291317,2016-05-02,1.49,A,-1.05,A,0.05,A
USGS,0204291317,2016-05-03,1.79,A,-1.10,A,0.37,A
USGS,0204291317,2016-05-04,2.62,A,-0.78,A,0.01,A
USGS,0204291317,2016-05-05,3.58,A,-0.26,A,0.06,A
USGS,0204291317,2016-05-06,3.07,A,-0.29,A,0.85,A
USGS,0204291317,2016-05-07,2.55,A,-0.84,A,0.01,A
USGS,0204291317,2016-05-08,1.64,A,-0.95,A,0.00,A
USGS,0204291317,2016-05-09,2.26,A,-1.22,A,0.00,A
USGS,0204291317,2016-05-10,1.77,A,-1.28,A,0.09,A
USGS,0204291317,2016-05-11,1.58,A,-1.20,A,0.01,A
USGS,0204291317,2016-05-12,1.43,A,-1.05,A,0.00,A
USGS,0204291317,2016-05-13,1.25,A,-1.06,A,0.29,A
USGS,0204291317,2016-05-14,1.26,A,-0.86,A,0.06,A
USGS,0204291317,2016-05-15,1.32,A,-0.85,A,,
USGS,0204291317,2016-05-16,0.57,A,-1.46,A,,
USGS,0204291317,2016-05-17,0.47,A,-1.82,A,,
USGS,0204291317,2016-05-18,1.15,A,-1.36,A,,
USGS,0204291317,2016-05-19,1.35,A,-0.89,A,,
USGS,0204291317,2016-05-20,1.20,A,-1.23,A,,
USGS,0204291317,2016-05-21,1.75,A,-1.22,A,,
USGS,0204291317,2016-05-22,1.92,A,-0.68,A,,
USGS,0204291317,2016-05-23,1.93,A,-0.59,A,,
USGS,0204291317,2016-05-24,1.11,A,-0.91,A,,
USGS,0204291317,2016-05-25,1.51,A,-1.14,A,,
USGS,0204291317,2016-05-26,1.27,A,-1.30,A,,
USGS,0204291317,2016-05-27,0.81,A,-1.45,A,,
USGS,0204291317,2016-05-28,0.90,A,-1.25,A,,
USGS,0204291317,2016-05-29,1.02,A,-1.29,A,,
USGS,0204291317,2016-05-30,1.53,A,-1.19,A,,
USGS,0204291317,2016-05-31,1.45,A,-1.10,A,,
USGS,0204291317,2016-06-01,1.57,A,-1.28,A,,
USGS,0204291317,2016-06-02,2.19,A,-1.16,A,,
USGS,0204291317,2016-06-03,2.26,A,-1.01,A,,
USGS,0204291317,2016-06-04,2.22,A,-1.11,A,,
USGS,0204291317,2016-06-05,2.15,A,-1.30,A,,
USGS,0204291317,2016-06-06,1.85,A,-1.26,A,,
USGS,0204291317,2016-06-07,1.34,A,-1.27,A,,
USGS,0204291317,2016-06-08,2.01,A,-0.85,A,,
USGS,0204291317,2016-06-09,1.77,A,-1.31,A,,
USGS,0204291317,2016-06-10,1.10,A,-1.20,A,,
USGS,0204291317,2016-06-11,0.91,A,-1.53,A,,
USGS,0204291317,2016-06-12,0.97,A,-1.20,A,,
USGS,0204291317,2016-06-13,1.52,A,-0.49,A,,
USGS,0204291317,2016-06-14,,,,,,
USGS,0204291317,2016-06-15,1.38,A,-1.01,A,,
USGS,0204291317,2016-06-16,1.78,A,-0.82,A,,
USGS,0204291317,2016-06-17,2.51,A,-0.32,A,,
USGS,0204291317,2016-06-18,1.67,A,-0.46,A,,
USGS,0204291317,2016-06-19,1.34,A,-1.17,A,,
USGS,0204291317,2016-06-20,1.25,A,-1.42,A,,
USGS,0204291317,2016-06-21,1.11,A,-1.55,A,,
USGS,0204291317,2016-06-22,0.76,A,-1.51,A,,
USGS,0204291317,2016-06-23,1.34,A,-1.31,A,0.45,A
USGS,0204291317,2016-06-24,1.56,A,-1.13,A,0.00,A
USGS,0204291317,2016-06-25,1.69,A,-0.67,A,0.00,A
USGS,0204291317,2016-06-26,1.75,A,-0.80,A,0.00,A
USGS,0204291317,2016-06-27,1.39,A,-1.08,A,0.00,A
USGS,0204291317,2016-06-28,1.37,A,-1.27,A,0.64,A
USGS,0204291317,2016-06-29,1.65,A,-1.14,A,0.00,A
USGS,0204291317,2016-06-30,1.70,A,-1.18,A,0.19,A
USGS,0204291317,2016-07-01,1.60,A,-1.36,A,0.62,A
USGS,0204291317,2016-07-02,1.84,A,-1.28,A,0.14,A
USGS,0204291317,2016-07-03,1.83,A,-1.23,A,0.45,A
USGS,0204291317,2016-07-04,1.47,A,-1.47,A,0.15,A
USGS,0204291317,2016-07-05,1.61,A,-1.51,A,0.00,A
USGS,0204291317,2016-07-06,1.18,A,-1.29,A,0.17,A
USGS,0204291317,2016-07-07,1.53,A,-1.20,A,0.00,A
USGS,0204291317,2016-07-08,1.64,A,-0.98,A,0.02,A
USGS,0204291317,2016-07-09,1.80,A,-0.76,A,0.00,A
USGS,0204291317,2016-07-10,1.74,A,-0.46,A,0.00,A
USGS,0204291317,2016-07-11,1.48,A,-0.68,A,0.00,A
USGS,0204291317,2016-07-12,1.30,A,-0.75,A,0.00,A
USGS,0204291317,2016-07-13,1.29,A,-0.89,A,0.00,A
USGS,0204291317,2016-07-14,1.18,A,-0.96,A,0.00,A
USGS,0204291317,2016-07-15,1.65,A,-1.15,A,0.60,A
USGS,0204291317,2016-07-16,0.92,A,-1.35,A,0.01,A
USGS,0204291317,2016-07-17,1.17,A,-1.34,A,0.13,A
USGS,0204291317,2016-07-18,1.06,A,-1.48,A,0.00,A
USGS,0204291317,2016-07-19,1.11,A,-1.46,A,0.31,A
USGS,0204291317,2016-07-20,1.43,A,-1.35,A,0.00,A
USGS,0204291317,2016-07-21,1.37,A,-1.28,A,0.00,A
USGS,0204291317,2016-07-22,0.89,A,-1.54,A,0.00,A
USGS,0204291317,2016-07-23,1.04,A,-1.63,A,0.00,A
USGS,0204291317,2016-07-24,1.28,A,-1.51,A,0.00,A
USGS,0204291317,2016-07-25,1.38,A,-1.32,A,0.00,A
USGS,0204291317,2016-07-26,1.60,A,-1.33,A,0.00,A
USGS,0204291317,2016-07-27,1.63,A,-1.11,A,0.00,A
USGS,0204291317,2016-07-28,1.78,A,-1.00,A,0.09,A
USGS,0204291317,2016-07-29,1.97,A,-0.93,A,0.00,A
USGS,0204291317,2016-07-30,1.69,A,-1.02,A,0.47,A
USGS,0204291317,2016-07-31,1.70,A,-1.14,A,1.90,A
USGS,0204291317,2016-08-01,1.86,A,-1.29,A,0.00,A
USGS,0204291317,2016-08-02,2.21,A,-0.99,A,2.35,A
USGS,0204291317,2016-08-03,2.22,A,-0.62,A,0.00,A
USGS,0204291317,2016-08-04,1.98,A,-0.61,A,0.00,A
USGS,0204291317,2016-08-05,1.65,A,-0.89,A,0.00,A
USGS,0204291317,2016-08-06,1.44,A,-1.12,A,0.00,A
USGS,0204291317,2016-08-07,1.38,A,-1.02,A,0.00,A
USGS,0204291317,2016-08-08,1.26,A,-1.02,A,0.00,A
USGS,0204291317,2016-08-09,1.26,A,-0.83,A,0.78,A
USGS,0204291317,2016-08-10,0.89,A,-1.11,A,0.00,A
USGS,0204291317,2016-08-11,0.56,A,-1.34,A,0.00,A
USGS,0204291317,2016-08-12,0.51,A,-1.59,A,0.00,A
USGS,0204291317,2016-08-13,0.51,A,-1.67,A,0.00,A
USGS,0204291317,2016-08-14,0.97,A,-1.52,A,0.00,A
USGS,0204291317,2016-08-15,1.17,A,-1.28,A,0.40,A
USGS,0204291317,2016-08-16,1.17,A,-1.41,A,0.00,A
USGS,0204291317,2016-08-17,1.13,A,-1.62,A,0.00,A
