# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-04-01 20:22:11 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 0204288539 BELLS MILL CRK AT BELLS MILL RD AT CHESAPEAKE, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 0204288539
#            TS   parameter     statistic     Description
#        145390       62620     00021     Estuary or ocean water surface elevation above NAVD 1988, feet (Tidal High (Daily))
#        145391       62620     00024     Estuary or ocean water surface elevation above NAVD 1988, feet (Tidal Low (Daily))
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	145390_62620_00021	145390_62620_00021_cd	145391_62620_00024	145391_62620_00024_cd
5s	15s	20d	14n	10s	14n	10s
USGS	0204288539	2016-03-31	0.55	A	-1.59	A
USGS	0204288539	2016-04-01	0.72	A	-2.19	A
USGS	0204288539	2016-04-02	0.75	A	-1.74	A
USGS	0204288539	2016-04-03	1.34	A	-2.05	A
USGS	0204288539	2016-04-04	0.21	A	-2.69	A
USGS	0204288539	2016-04-05	2.74	A	-2.46	A
USGS	0204288539	2016-04-06	1.89	A	-2.12	A
USGS	0204288539	2016-04-07	2.29	A	-2.39	A
USGS	0204288539	2016-04-08	2.22	A	-1.96	A
USGS	0204288539	2016-04-09	1.41	A	-2.40	A
USGS	0204288539	2016-04-10	2.03	A	-2.27	A
USGS	0204288539	2016-04-11	1.48	A	-2.37	A
USGS	0204288539	2016-04-12	1.08	A	-2.34	A
USGS	0204288539	2016-04-13	1.83	A	-1.34	A
USGS	0204288539	2016-04-14	1.76	A	-0.96	A
USGS	0204288539	2016-04-15	1.74	A	-0.89	A
USGS	0204288539	2016-04-16	1.86	A	-0.84	A
USGS	0204288539	2016-04-17	2.47	A	-0.62	A
USGS	0204288539	2016-04-18	2.03	A	-0.89	A
USGS	0204288539	2016-04-19	1.94	A	-1.27	A
USGS	0204288539	2016-04-20	1.98	A	-1.35	A
USGS	0204288539	2016-04-21	1.58	A	-1.68	A
USGS	0204288539	2016-04-22	1.68	A	-1.80	A
USGS	0204288539	2016-04-23	2.16	A	-1.75	A
USGS	0204288539	2016-04-24	2.01	A	-1.21	A
USGS	0204288539	2016-04-25	1.92	A	-1.35	A
USGS	0204288539	2016-04-26	1.54	A	-1.80	A
USGS	0204288539	2016-04-27	1.79	A	-1.36	A
USGS	0204288539	2016-04-28	2.15	A	-0.58	A
USGS	0204288539	2016-04-29	2.14	A	-0.53	A
USGS	0204288539	2016-04-30	2.19	A	-0.64	A
USGS	0204288539	2016-05-01	1.66	A	-1.29	A
USGS	0204288539	2016-05-02	1.83	A	-1.43	A
USGS	0204288539	2016-05-03	2.25	A	-1.74	A
USGS	0204288539	2016-05-04	2.95	A	-1.32	A
USGS	0204288539	2016-05-05	3.79	A	-0.76	A
USGS	0204288539	2016-05-06	3.45	A	-0.68	A
USGS	0204288539	2016-05-07	2.85	A	-1.16	A
USGS	0204288539	2016-05-08	2.20	A	-1.49	A
USGS	0204288539	2016-05-09	2.59	A	-1.60	A
USGS	0204288539	2016-05-10	2.17	A	-1.71	A
USGS	0204288539	2016-05-11	1.88	A	-1.48	A
USGS	0204288539	2016-05-12	1.83	A	-1.41	A
USGS	0204288539	2016-05-13	1.64	A	-1.33	A
USGS	0204288539	2016-05-14	1.61	A	-1.15	A
USGS	0204288539	2016-05-15	1.52	A	-1.14	A
USGS	0204288539	2016-05-16	0.96	A	-1.89	A
USGS	0204288539	2016-05-17	0.85	A	-2.17	A
USGS	0204288539	2016-05-18	1.43	A	-1.91	A
USGS	0204288539	2016-05-19	1.72	A	-1.30	A
USGS	0204288539	2016-05-20	1.57	A	-1.67	A
USGS	0204288539	2016-05-21	2.19	A	-1.82	A
USGS	0204288539	2016-05-22	2.17	A	-1.09	A
USGS	0204288539	2016-05-23	2.36	A	-0.92	A
USGS	0204288539	2016-05-24	2.26	A	-1.17	A
USGS	0204288539	2016-05-25	1.84	A	-1.57	A
USGS	0204288539	2016-05-26	1.62	A	-1.63	A
USGS	0204288539	2016-05-27	1.21	A	-1.91	A
USGS	0204288539	2016-05-28	1.30	A	-1.54	A
USGS	0204288539	2016-05-29	1.45	A	-1.57	A
USGS	0204288539	2016-05-30	1.87	A	-1.53	A
USGS	0204288539	2016-05-31	1.75	A	-1.54	A
USGS	0204288539	2016-06-01	1.89	A	-1.86	A
USGS	0204288539	2016-06-02	2.52	A	-1.80	A
USGS	0204288539	2016-06-03	2.65	A	-1.56	A
USGS	0204288539	2016-06-04	2.60	A	-1.64	A
USGS	0204288539	2016-06-05	2.66	A	-1.88	A
USGS	0204288539	2016-06-06	2.21	A	-2.07	A
USGS	0204288539	2016-06-07	2.21	A	-2.03	A
USGS	0204288539	2016-06-08	2.55	A	-1.21	A
USGS	0204288539	2016-06-09	2.04	A	-1.79	A
USGS	0204288539	2016-06-10	1.47	A	-1.65	A
USGS	0204288539	2016-06-11	1.30	A	-1.65	A
