# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-04-01 19:39:13 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 0204293125 LONDON BRIDGE CREEK AT RT 58 AT VIRGINIA BEACH, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 0204293125
#            TS   parameter     statistic     Description
#        145429       62620     00021     Estuary or ocean water surface elevation above NAVD 1988, feet (Tidal High (Daily))
#        145430       62620     00024     Estuary or ocean water surface elevation above NAVD 1988, feet (Tidal Low (Daily))
#        145431       00045     00006     Precipitation, total, inches (Sum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	145429_62620_00021	145429_62620_00021_cd	145430_62620_00024	145430_62620_00024_cd	145431_00045_00006	145431_00045_00006_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	0204293125	2016-04-19	1.48	A	-1.10	A	0.00	A
USGS	0204293125	2016-04-20	1.44	A	-0.93	A	0.00	A
USGS	0204293125	2016-04-21	1.20	A	-1.24	A	0.00	A
USGS	0204293125	2016-04-22	1.25	A	-1.36	A	0.85	A
USGS	0204293125	2016-04-23	1.87	A	-1.16	A	0.08	A
USGS	0204293125	2016-04-24	1.56	A	-0.73	A	0.00	A
USGS	0204293125	2016-04-25	1.61	A	-0.96	A	0.00	A
USGS	0204293125	2016-04-26	1.21	A	-1.30	A	0.00	A
USGS	0204293125	2016-04-27	1.48	A	-0.98	A	0.15	A
USGS	0204293125	2016-04-28	1.82	A	-0.47	A	0.55	A
USGS	0204293125	2016-04-29	1.81	A	-0.30	A	0.01	A
USGS	0204293125	2016-04-30	1.91	A	-0.57	A	0.01	A
USGS	0204293125	2016-05-01	1.35	A	-0.96	A	0.02	A
USGS	0204293125	2016-05-02	1.50	A	-1.01	A	0.02	A
USGS	0204293125	2016-05-03	1.77	A	-1.08	A	0.30	A
USGS	0204293125	2016-05-04	2.56	A	-0.79	A	0.01	A
USGS	0204293125	2016-05-05	3.50	A	-0.32	A	0.13	A
USGS	0204293125	2016-05-06	3.05	A	-0.30	A	0.79	A
USGS	0204293125	2016-05-07	2.51	A	-0.87	A	0.03	A
USGS	0204293125	2016-05-08	1.70	A	-0.96	A	0.00	A
USGS	0204293125	2016-05-09	2.23	A	-1.26	A	0.00	A
USGS	0204293125	2016-05-10	1.75	A	-1.31	A	0.15	A
USGS	0204293125	2016-05-11	1.56	A	-1.21	A	0.00	A
USGS	0204293125	2016-05-12	1.42	A	-1.04	A	0.00	A
USGS	0204293125	2016-05-13	1.23	A	-1.04	A	0.31	A
USGS	0204293125	2016-05-14	1.27	A	-0.85	A	0.06	A
USGS	0204293125	2016-05-15	1.37	A	-0.76	A	0.00	A
USGS	0204293125	2016-05-16	0.59	A	-1.38	A	0.00	A
USGS	0204293125	2016-05-17	0.47	A	-1.82	A	0.45	A
USGS	0204293125	2016-05-18	1.14	A	-1.38	A	0.03	A
USGS	0204293125	2016-05-19	1.34	A	-0.90	A	0.00	A
USGS	0204293125	2016-05-20	1.16	A	-1.28	A	0.00	A
USGS	0204293125	2016-05-21	1.80	A	-1.27	A	0.17	A
USGS	0204293125	2016-05-22	1.93	A	-0.68	A	0.08	A
USGS	0204293125	2016-05-23	1.92	A	-0.61	A	0.44	A
USGS	0204293125	2016-05-24	1.13	A	-0.89	A	0.00	A
USGS	0204293125	2016-05-25	1.51	A	-1.16	A	0.00	A
USGS	0204293125	2016-05-26	1.27	A	-1.35	A	0.00	A
USGS	0204293125	2016-05-27	0.81	A	-1.46	A	0.00	A
USGS	0204293125	2016-05-28	0.90	A	-1.23	A	0.00	A
USGS	0204293125	2016-05-29	1.00	A	-1.32	A	0.05	A
USGS	0204293125	2016-05-30	1.34	A	-1.19	A	2.49	A
USGS	0204293125	2016-05-31	1.43	A	-1.16	A	0.00	A
USGS	0204293125	2016-06-01	1.55	A	-1.34	A	0.07	A
USGS	0204293125	2016-06-02	2.15	A	-1.18	A	0.00	A
USGS	0204293125	2016-06-03	2.21	A	-1.08	A	0.00	A
USGS	0204293125	2016-06-04	2.17	A	-1.18	A	0.00	A
USGS	0204293125	2016-06-05	2.15	A	-1.30	A	0.97	A
USGS	0204293125	2016-06-06	1.84	A	-1.27	A	0.08	A
USGS	0204293125	2016-06-07	1.37	A	-1.30	A	0.55	A
USGS	0204293125	2016-06-08	2.03	A	-0.79	A	0.01	A
USGS	0204293125	2016-06-09	1.81	A	-1.29	A	0.00	A
USGS	0204293125	2016-06-10	1.12	A	-1.20	A	0.00	A
USGS	0204293125	2016-06-11	0.94	A	-1.48	A	0.00	A
