# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-04-01 20:03:56 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 0204297575 LAKE RUDEE NEAR BELLS ROAD AT VIRGINIA BEACH, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 0204297575
#            TS   parameter     statistic     Description
#        145435       62620     00021     Estuary or ocean water surface elevation above NAVD 1988, feet (Tidal High (Daily))
#        145436       62620     00024     Estuary or ocean water surface elevation above NAVD 1988, feet (Tidal Low (Daily))
#        145437       00045     00006     Precipitation, total, inches (Sum)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	145435_62620_00021	145435_62620_00021_cd	145436_62620_00024	145436_62620_00024_cd	145437_00045_00006	145437_00045_00006_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	0204297575	2016-04-12	1.22	A	-2.86	A		
USGS	0204297575	2016-04-13	1.71	A	-1.34	A	0.00	A
USGS	0204297575	2016-04-14	1.91	A	-1.38	A	0.00	A
USGS	0204297575	2016-04-15	1.65	A	-1.28	A	0.00	A
USGS	0204297575	2016-04-16	1.76	A	-1.19	A	0.00	A
USGS	0204297575	2016-04-17	2.27	A	-0.53	A	0.00	A
USGS	0204297575	2016-04-18	1.92	A	-1.19	A	0.00	A
USGS	0204297575	2016-04-19	2.01	A	-1.64	A	0.00	A
USGS	0204297575	2016-04-20	2.00	A	-1.49	A	0.00	A
USGS	0204297575	2016-04-21	1.77	A	-1.81	A	0.00	A
USGS	0204297575	2016-04-22	1.85	A	-1.98	A	0.85	A
USGS	0204297575	2016-04-23	2.51	A	-1.83	A	0.09	A
USGS	0204297575	2016-04-24	2.29	A	-1.15	A	0.00	A
USGS	0204297575	2016-04-25	1.71	A	-1.55	A	0.00	A
USGS	0204297575	2016-04-26	1.69	A	-1.68	A	0.00	A
USGS	0204297575	2016-04-27	1.97	A	-1.46	A	0.06	A
USGS	0204297575	2016-04-28	2.31	A	-1.07	A	0.51	A
USGS	0204297575	2016-04-29	2.09	A	-0.76	A	0.01	A
USGS	0204297575	2016-04-30	2.31	A	-1.07	A	0.00	A
USGS	0204297575	2016-05-01	1.68	A	-1.42	A	0.02	A
USGS	0204297575	2016-05-02	2.07	A	-1.61	A	0.04	A
USGS	0204297575	2016-05-03	2.31	A	-1.98	A	0.39	A
USGS	0204297575	2016-05-04	3.41	A	-1.71	A	0.00	A
USGS	0204297575	2016-05-05	4.18	A	-1.27	A	0.16	A
USGS	0204297575	2016-05-06	3.74	A	-1.44	A	0.66	A
USGS	0204297575	2016-05-07	3.36	A	-2.01	A	0.20	A
USGS	0204297575	2016-05-08	3.08	A	-2.21	A	0.01	A
USGS	0204297575	2016-05-09	2.49	A	-2.28	A	0.00	A
USGS	0204297575	2016-05-10	1.48	A	-2.31	A	0.16	A
USGS	0204297575	2016-05-11	2.25	A	-1.88	A	0.19	A
USGS	0204297575	2016-05-12	1.89	A	-1.65	A	0.00	A
USGS	0204297575	2016-05-13	1.80	A	-1.48	A	0.14	A
USGS	0204297575	2016-05-14	1.71	A	-1.24	A	0.03	A
USGS	0204297575	2016-05-15	1.53	A	-1.55	A	0.00	A
USGS	0204297575	2016-05-16	0.86	A	-2.13	A	0.00	A
USGS	0204297575	2016-05-17	0.84	A	-2.48	A	0.62	A
USGS	0204297575	2016-05-18	1.75	A	-1.92	A	0.03	A
USGS	0204297575	2016-05-19	1.86	A	-1.63	A	0.00	A
USGS	0204297575	2016-05-20	1.71	A	-1.92	A	0.00	A
USGS	0204297575	2016-05-21	2.12	A	-1.87	A	0.19	A
USGS	0204297575	2016-05-22	2.50	A	-1.35	A	0.05	A
USGS	0204297575	2016-05-23	2.49	A	-1.19	A	0.50	A
USGS	0204297575	2016-05-24	2.05	A	-1.43	A	0.00	A
USGS	0204297575	2016-05-25	1.82	A	-1.66	A	0.00	A
USGS	0204297575	2016-05-26	1.41	A	-1.84	A	0.00	A
USGS	0204297575	2016-05-27	1.13	A	-2.09	A	0.00	A
USGS	0204297575	2016-05-28	1.32	A	-1.89	A	0.00	A
USGS	0204297575	2016-05-29	1.38	A	-1.90	A	0.05	A
USGS	0204297575	2016-05-30	1.83	A	-1.83	A	0.94	A
USGS	0204297575	2016-05-31	1.94	A	-2.03	A	0.00	A
USGS	0204297575	2016-06-01	2.13	A	-2.19	A	0.00	A
USGS	0204297575	2016-06-02	2.96	A	-2.13	A	0.00	A
USGS	0204297575	2016-06-03	3.06	A	-2.06	A	0.00	A
USGS	0204297575	2016-06-04	3.00	A	-2.31	A	0.00	A
USGS	0204297575	2016-06-05	2.88	A	-2.24	A	0.68	A
USGS	0204297575	2016-06-06	2.77	A	-2.48	A	0.08	A
USGS	0204297575	2016-06-07	2.86	A	-2.31	A	1.10	A
USGS	0204297575	2016-06-08	2.34	A	-1.97	A	0.00	A
USGS	0204297575	2016-06-09	1.40	A	-1.99	A	0.00	A
USGS	0204297575	2016-06-10	1.61	A	-1.93	A	0.00	A
USGS	0204297575	2016-06-11	1.29	A	-1.87	A	0.00	A
USGS	0204297575	2016-06-12	1.47	A	-1.63	A	0.37	A
USGS	0204297575	2016-06-13	1.73	A	-1.01	A	0.01	A
USGS	0204297575	2016-06-14						
USGS	0204297575	2016-06-15	1.79	A	-1.44	A	0.00	A
USGS	0204297575	2016-06-16	2.32	A	-1.21	A		
USGS	0204297575	2016-06-17	2.85	A	-0.88	A		
USGS	0204297575	2016-06-18	2.15	A	-1.06	A		
USGS	0204297575	2016-06-19	1.89	A	-1.76	A		
USGS	0204297575	2016-06-20	1.93	A	-1.91	A		
USGS	0204297575	2016-06-21	2.30	A	-2.13	A		
USGS	0204297575	2016-06-22	1.99	A	-2.36	A		
USGS	0204297575	2016-06-23						
USGS	0204297575	2016-06-24	2.13	A	-2.17	A	0.00	A
USGS	0204297575	2016-06-25						
USGS	0204297575	2016-06-26	2.15	A	-1.61	A	0.00	A
USGS	0204297575	2016-06-27	1.70	A	-1.79	A	0.00	A
USGS	0204297575	2016-06-28	1.75	A	-2.07	A	0.48	A
USGS	0204297575	2016-06-29	2.07	A	-2.19	A	0.00	A
USGS	0204297575	2016-06-30	2.23	A	-2.05	A	0.09	A
USGS	0204297575	2016-07-01	2.31	A	-2.48	A	0.96	A
USGS	0204297575	2016-07-02	2.32	A	-2.49	A	0.00	A
USGS	0204297575	2016-07-03	2.39	A	-2.34	A	0.27	A
USGS	0204297575	2016-07-04	2.10	A	-2.67	A	0.07	A
USGS	0204297575	2016-07-05	2.24	A	-2.67	A	0.00	A
USGS	0204297575	2016-07-06	2.12	A	-2.39	A	0.15	A
USGS	0204297575	2016-07-07	1.99	A	-2.03	A	0.00	A
USGS	0204297575	2016-07-08	2.00	A	-1.90	A	0.00	A
USGS	0204297575	2016-07-09	2.10	A	-1.67	A	0.00	A
USGS	0204297575	2016-07-10	2.00	A	-1.20	A	0.00	A
USGS	0204297575	2016-07-11	1.64	A	-1.27	A	0.00	A
USGS	0204297575	2016-07-12	1.49	A	-1.28	A	0.00	A
