# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-04-27 20:54:52 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 0204309906 CONVEYANCE CHAN AT RAMSGATE LN NR GREAT BRIDGE, VA
# -----------------------------------------------------------------------------------
#
# Data provided for site 0204309906
#            TS   parameter     Description
#        147316       00065     Gage height, feet, Left Culvert, [Left culvert]
#        147318       00010     Temperature, water, degrees Celsius
#        147319       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#        147320       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)
#        147321       99234     Count of samples collected by autosampler, number
#        147329       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	147316_00065	147316_00065_cd	147318_00010	147318_00010_cd	147319_00095	147319_00095_cd	147320_63680	147320_63680_cd	147321_99234	147321_99234_cd	147329_00060	147329_00060_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	0204309906	2019-04-20 00:00	EDT	0.38	P	20.4	P	97	P	8.2	P	5	P	3.10	P
USGS	0204309906	2019-04-20 00:05	EDT	0.37	P	20.4	P	97	P	8.4	P	5	P	2.91	P
USGS	0204309906	2019-04-20 00:10	EDT	0.36	P	20.3	P	97	P	15.7	P	5	P	2.73	P
USGS	0204309906	2019-04-20 00:15	EDT	0.36	P	20.3	P	98	P	8.2	P	5	P	2.73	P
USGS	0204309906	2019-04-20 00:20	EDT	0.35	P	20.3	P	98	P	8.2	P	5	P	2.56	P
USGS	0204309906	2019-04-20 00:25	EDT	0.34	P	20.3	P	98	P	7.6	P	5	P	2.40	P
USGS	0204309906	2019-04-20 00:30	EDT	0.34	P	20.2	P	98	P	7.9	P	5	P	2.40	P
USGS	0204309906	2019-04-20 00:35	EDT	0.34	P	20.2	P	99	P	6.9	P	5	P	2.40	P
USGS	0204309906	2019-04-20 00:40	EDT	0.33	P	20.2	P	99	P	7.5	P	5	P	2.22	P
USGS	0204309906	2019-04-20 00:45	EDT	0.33	P	20.1	P	99	P	7.2	P	5	P	2.22	P
USGS	0204309906	2019-04-20 00:50	EDT	0.32	P	20.1	P	99	P	6.9	P	5	P	2.04	P
USGS	0204309906	2019-04-20 00:55	EDT	0.32	P	20.1	P	99	P	7.1	P	5	P	2.04	P
USGS	0204309906	2019-04-20 01:00	EDT	0.32	P	20.0	P	99	P	7.1	P	5	P	2.04	P
USGS	0204309906	2019-04-20 01:05	EDT	0.31	P	20.0	P	99	P	6.9	P	5	P	1.87	P
USGS	0204309906	2019-04-20 01:10	EDT	0.31	P	20.0	P	98	P	6.7	P	5	P	1.87	P
USGS	0204309906	2019-04-20 01:15	EDT	0.30	P	20.0	P	98	P	6.7	P	5	P	1.71	P
USGS	0204309906	2019-04-20 01:20	EDT	0.30	P	19.9	P	99	P	6.6	P	5	P	1.71	P
USGS	0204309906	2019-04-20 01:25	EDT	0.30	P	19.9	P	99	P	6.7	P	5	P	1.71	P
USGS	0204309906	2019-04-20 01:30	EDT	0.29	P	19.8	P	98	P	9.7	P	5	P	1.56	P
USGS	0204309906	2019-04-20 01:35	EDT	0.29	P	19.8	P	98	P	6.6	P	5	P	1.56	P
USGS	0204309906	2019-04-20 01:40	EDT	0.28	P	19.8	P	98	P	6.3	P	5	P	1.42	P
USGS	0204309906	2019-04-20 01:45	EDT	0.28	P	19.7	P	98	P	6.5	P	5	P	1.42	P
USGS	0204309906	2019-04-20 01:50	EDT	0.28	P	19.7	P	98	P	6.1	P	5	P	1.42	P
USGS	0204309906	2019-04-20 01:55	EDT	0.28	P	19.7	P	98	P	6.2	P	5	P	1.42	P
USGS	0204309906	2019-04-20 02:00	EDT	0.28	P	19.6	P	99	P	6.3	P	5	P	1.42	P
USGS	0204309906	2019-04-20 02:05	EDT	0.28	P	19.6	P	102	P	6.3	P	5	P	1.42	P
USGS	0204309906	2019-04-20 02:10	EDT	0.27	P	19.6	P	104	P	7.2	P	5	P	1.29	P
USGS	0204309906	2019-04-20 02:15	EDT	0.27	P	19.6	P	106	P	6.4	P	5	P	1.29	P
USGS	0204309906	2019-04-20 02:20	EDT	0.27	P	19.5	P	108	P	6.7	P	5	P	1.29	P
USGS	0204309906	2019-04-20 02:25	EDT	0.27	P	19.5	P	110	P	6.5	P	5	P	1.29	P
USGS	0204309906	2019-04-20 02:30	EDT	0.27	P	19.5	P	112	P	6.5	P	5	P	1.29	P
USGS	0204309906	2019-04-20 02:35	EDT	0.27	P	19.4	P	113	P	6.4	P	5	P	1.29	P
USGS	0204309906	2019-04-20 02:40	EDT	0.27	P	19.4	P	115	P	6.1	P	5	P	1.29	P
USGS	0204309906	2019-04-20 02:45	EDT	0.27	P	19.4	P	117	P	6.0	P	5	P	1.29	P
USGS	0204309906	2019-04-20 02:50	EDT	0.27	P	19.4	P	119	P	6.8	P	5	P	1.29	P
USGS	0204309906	2019-04-20 02:55	EDT	0.28	P	19.4	P	120	P	6.5	P	5	P	1.42	P
USGS	0204309906	2019-04-20 03:00	EDT	0.29	P	19.3	P	122	P	6.9	P	5	P	1.56	P
USGS	0204309906	2019-04-20 03:05	EDT	0.32	P	19.3	P	120	P	10.8	P	5	P	2.04	P
USGS	0204309906	2019-04-20 03:10	EDT	0.39	P	19.4	P	109	P	15.1	P	5	P	3.29	P
USGS	0204309906	2019-04-20 03:15	EDT	0.47	P	19.4	P	92	P	16.3	P	5	P	5.04	P
USGS	0204309906	2019-04-20 03:20	EDT	0.51	P	19.5	P	87	P	17.4	P	6	P	6.05	P
USGS	0204309906	2019-04-20 03:25	EDT	0.52	P	19.6	P	86	P	22.2	P	6	P	6.32	P
USGS	0204309906	2019-04-20 03:30	EDT	0.50	P	19.6	P	86	P	15.1	P	6	P	5.79	P
